Sensitive Activities,Background Size,Confidence Privacy
"('CODE NOK', 'ZDBC_BEHAN', 'CODE ERROR')",1,135108711.45866442
"('CODE NOK', 'ZDBC_BEHAN', 'CODE ERROR')",2,64188740.54898101
"('CODE NOK', 'ZDBC_BEHAN', 'CODE ERROR')",3,27418379.071494
"('CODE NOK', 'ZDBC_BEHAN', 'CODE ERROR')",4,12535462.071856825
"('CODE NOK', 'ZDBC_BEHAN', 'REOPEN')",1,135108297.9225947
"('CODE NOK', 'ZDBC_BEHAN', 'REOPEN')",2,65334620.5374014
"('CODE NOK', 'ZDBC_BEHAN', 'REOPEN')",3,28835264.884928074
"('CODE NOK', 'ZDBC_BEHAN', 'REOPEN')",4,13685846.75080449
"('CODE NOK', 'ZDBC_BEHAN', 'STORNO')",1,135108301.05282614
"('CODE NOK', 'ZDBC_BEHAN', 'STORNO')",2,65334622.80932646
"('CODE NOK', 'ZDBC_BEHAN', 'STORNO')",3,29096810.609503955
"('CODE NOK', 'ZDBC_BEHAN', 'STORNO')",4,14130514.04753351
"('CODE NOK', 'ZDBC_BEHAN', 'JOIN-PAT')",1,135108297.48401642
"('CODE NOK', 'ZDBC_BEHAN', 'JOIN-PAT')",2,63081712.76304222
"('CODE NOK', 'ZDBC_BEHAN', 'JOIN-PAT')",3,26348457.21177638
"('CODE NOK', 'ZDBC_BEHAN', 'JOIN-PAT')",4,11727806.064812403
"('CODE NOK', 'ZDBC_BEHAN', 'MANUAL')",1,135108297.8379802
"('CODE NOK', 'ZDBC_BEHAN', 'MANUAL')",2,64188399.17882682
"('CODE NOK', 'ZDBC_BEHAN', 'MANUAL')",3,27359686.393328752
"('CODE NOK', 'ZDBC_BEHAN', 'MANUAL')",4,12475385.488901787
"('CODE NOK', 'ZDBC_BEHAN', 'CHANGE END')",1,135108523.27764222
"('CODE NOK', 'ZDBC_BEHAN', 'CHANGE END')",2,63630310.733835325
"('CODE NOK', 'ZDBC_BEHAN', 'CHANGE END')",3,26844570.432772703
"('CODE NOK', 'ZDBC_BEHAN', 'CHANGE END')",4,12052828.277838796
"('CODE NOK', 'ZDBC_BEHAN', 'DELETE')",1,135108296.93831027
"('CODE NOK', 'ZDBC_BEHAN', 'DELETE')",2,65334619.933677725
"('CODE NOK', 'ZDBC_BEHAN', 'DELETE')",3,28263640.38176618
"('CODE NOK', 'ZDBC_BEHAN', 'DELETE')",4,12993036.09455541
"('CODE NOK', 'REJECT', 'CODE ERROR')",1,20344.098871939757
"('CODE NOK', 'REJECT', 'CODE ERROR')",2,9164.208194177296
"('CODE NOK', 'REJECT', 'CODE ERROR')",3,3837.4216299810723
"('CODE NOK', 'REJECT', 'CODE ERROR')",4,1840.6557887688673
"('CODE NOK', 'REJECT', 'REOPEN')",1,38.071137565585545
"('CODE NOK', 'REJECT', 'REOPEN')",2,20.046093374779932
"('CODE NOK', 'REJECT', 'REOPEN')",3,9.931994789443024
"('CODE NOK', 'REJECT', 'REOPEN')",4,5.36987006846114
"('CODE NOK', 'REJECT', 'STORNO')",1,38.017237176126926
"('CODE NOK', 'REJECT', 'STORNO')",2,19.994647996311837
"('CODE NOK', 'REJECT', 'STORNO')",3,9.944960783688444
"('CODE NOK', 'REJECT', 'STORNO')",4,5.454876378852476
"('CODE NOK', 'REJECT', 'JOIN-PAT')",1,150.54655285777173
"('CODE NOK', 'REJECT', 'JOIN-PAT')",2,97.6603500070141
"('CODE NOK', 'REJECT', 'JOIN-PAT')",3,58.46124636709917
"('CODE NOK', 'REJECT', 'JOIN-PAT')",4,35.28412577262359
"('CODE NOK', 'REJECT', 'MANUAL')",1,1115.0734518832455
"('CODE NOK', 'REJECT', 'MANUAL')",2,440.9555961686213
"('CODE NOK', 'REJECT', 'MANUAL')",3,158.97915625098452
"('CODE NOK', 'REJECT', 'MANUAL')",4,69.13877176109517
"('CODE NOK', 'REJECT', 'CHANGE END')",1,5766.992873824757
"('CODE NOK', 'REJECT', 'CHANGE END')",2,2394.13370517875
"('CODE NOK', 'REJECT', 'CHANGE END')",3,904.0883770533865
"('CODE NOK', 'REJECT', 'CHANGE END')",4,397.3150515332762
"('CODE NOK', 'REJECT', 'DELETE')",1,38.128015168930006
"('CODE NOK', 'REJECT', 'DELETE')",2,20.09791695605099
"('CODE NOK', 'REJECT', 'DELETE')",3,9.784870381693143
